A,B
biologia molecular do gene,biologia do desenvolvimento
fundamentos de biologia moderna,biologia molecular da célula
fundamentos de biologia moderna,biologia molecular do gene
bioquímica i,bioquímica analítica
fundamentos de biologia moderna,bioquímica i
bioquímica i,bioquímica ii
fundamentos de engenharia bioquímica,engenharia bioquímica i
microbiologia geral,engenharia bioquímica i
engenharia bioquímica i,engenharia bioquímica ii
matemática geral,fundamentos de engenharia bioquímica
física geral,fundamentos de engenharia bioquímica
fenômenos mecânicos,física geral
biologia molecular da célula,introdução à bioinformática
lógica de programação,introdução à bioinformática
biologia molecular da célula,introdução à biologia de sistemas
biologia molecular da célula,laboratório de biologia molecular e celular
bioquímica i,laboratório de bioquímica
biologia molecular do gene,laboratório de bioquímica
bioquímica analítica,laboratório de bioquímica analítica
engenharia bioquímica i,laboratório de engenharia bioquímica
microbiologia geral,laboratório de microbiologia
cálculo em uma variável,matemática geral
microbiologia geral,microbiologia aplicada e industrial
química geral,química orgânica
química geral,termodinâmica química
cálculo em uma variável,termodinâmica química
